tp,year,area
1.569120303,2007.610437,27.091
1.502196745,2004.592389,27.197
1.516857974,1996.90644,27.757
1.323087241,1993.184317,27.214
1.292131547,1986.67943,27.132
1.321059709,1979.740088,27.9148
