Lake,year,area,aphan,allo,diato,lutzea,canth,echine,pheob,pheoa,bcar,15n,13c,N,C,C.N
Pelican,1986,3.1635,19.17444985,147.0441845,477.1929751,631.5111794,155.490414,131.0287827,458.35113,459.4216209,270.6923748,9.002632408,-20.47351982,0.489035699,6.269592231,14.95703542
Pelican,1985,8.5509,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1984,2.4552,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1983,4.014,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1982,15.2568,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1981,0.027,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1980,2.1924,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1979,10.6524,37.10772975,153.9786132,500.5049919,822.6920088,188.3428273,283.8590392,606.5885243,657.0264924,412.2614635,8.706207314,-19.62214968,0.445217745,6.046755621,15.84516408
Pelican,1978,16.7274,37.10772975,153.9786132,500.5049919,822.6920088,188.3428273,283.8590392,606.5885243,657.0264924,412.2614635,8.706207314,-19.62214968,0.445217745,6.046755621,15.84516408
Pelican,1977,21.636,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1976,22.8258,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1975,21.5784,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1974,9.0504,26.79140262,138.3398177,469.5258075,878.1673271,119.3000098,118.3448581,722.1079842,561.4689718,249.1876446,9.3123175,-21.33623437,0.475257998,5.853823834,14.3700078
Pelican,1973,0.9576,26.79140262,138.3398177,469.5258075,878.1673271,119.3000098,118.3448581,722.1079842,561.4689718,249.1876446,9.3123175,-21.33623437,0.475257998,5.853823834,14.3700078
Pelican,1972,11.5812,6.802801248,108.087506,425.7511769,785.2831235,105.1147323,251.434577,857.3572275,731.4408223,419.0956716,8.85279994,-21.23839511,0.450158988,6.274566079,16.2616482
